dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
MoteStrain,0.9177316293929714,0.0017499123242976577,0.07708245725370944,1.3801123372279107
NonInvasiveFetalECGThorax1,0.9512468193384225,0.0027762201927706604,20.042349909013137,19.125716624734924
NonInvasiveFetalECGThorax2,0.9675318066157761,0.000875554734559064,19.9939278408885,19.141781184542925
OSULeaf,0.9421487603305785,0.0036959801280988134,1.344235644163564,1.3969034882262348
OliveOil,0.9133333333333333,0.01632993161855452,0.3195583938155323,0.23612119173631071
PLAID,0.8189944134078212,0.018374519752020868,9.94838401824236,9.4550740421284
PhalangesOutlinesCorrect,0.828904428904429,0.004447269004274818,4.280666098278015,0.9001499402336777
Phoneme,0.27932489451476794,0.0020724559814755752,3.1415927269961683,25.371058023208754
PickupGestureWiimoteZ,0.796,0.014966629547095742,0.3733295483980328,0.29093074970878663
PigAirwayPressure,0.8028846153846153,0.006081303192631477,3.0428698782343417,5.5967420936562124
PigArtPressure,0.9557692307692308,0.004710557197659982,3.039002285432071,5.563940028659999
PigCVP,0.9307692307692308,0.0023552785988299706,3.0514697643928232,5.60727063328959
Plane,1.0,0.0,0.38343398133292794,0.22328929589129984
PowerCons,0.9855555555555554,0.004444444444444473,0.5511466491501779,0.35164531315676867
ProximalPhalanxOutlineAgeGroup,0.853658536585366,1.1102230246251565e-16,0.8417001006659119,0.2336981546599418
ProximalPhalanxOutlineCorrect,0.9010309278350516,0.005498281786941606,1.2928338976111262,0.3299158103764057
ProximalPhalanxTW,0.8136585365853659,0.0056887335559465905,0.840479409461841,0.24139958317391574
RefrigerationDevices,0.5285333333333333,0.0019955506062794173,3.9116700713988397,3.5578344180248678
Rock,0.68,0.0,0.9624397715553641,2.051466553611681
ScreenType,0.4810666666666667,0.009175813618178812,3.872947942605242,3.5360490268096325
SemgHandGenderCh2,0.8963333333333333,0.004396968652757611,6.258280124980956,11.77267746841535
SemgHandMovementCh2,0.6048888888888889,0.011708390997617339,9.3917499368079,8.975734471483156
SemgHandSubjectCh2,0.844,0.008933222774329662,9.440770789235831,8.987430384708569
ShakeGestureWiimoteZ,0.924,0.007999999999999962,0.381134742917493,0.3061215735971928
ShapeletSim,1.0,0.0,0.2509306883905083,1.2089923292398452
ShapesAll,0.9073333333333334,0.006018490028422591,4.606710317218676,3.998390369629487
SmallKitchenAppliances,0.8165333333333333,0.0039191835884530915,3.8543826257809997,3.547016792697832
SmoothSubspace,0.9733333333333334,0.0,0.20110595938749612,0.052093372354283934
SonyAIBORobotSurface1,0.9217970049916804,0.0021046773112601506,0.08060726579278708,0.5771183340344578
SonyAIBORobotSurface2,0.913536201469045,0.0021606778889794666,0.07445845068432391,0.8543460689950734
StarLightCurves,0.9805488101019912,0.00037146815300579436,14.392634114902467,108.90728425192647
Strawberry,0.981081081081081,0.0,2.4592328586615624,1.159322155220434
SwedishLeaf,0.9628799999999998,0.001197330363767648,1.2903610620182007,1.0678395131602885
Symbols,0.9746733668341708,0.0009847194945862283,0.23190062278881668,5.09820487909019
SyntheticControl,0.9993333333333332,0.0013333333333333196,0.5869542338419705,0.2631741771940142
ToeSegmentation1,0.9701754385964912,0.0017543859649122862,0.2569258003961295,0.8458269318565727
ToeSegmentation2,0.9215384615384616,0.005756395979652245,0.27919704155065117,0.6225626542698591
Trace,1.0,0.0,0.5346748409792781,0.39395275893621146
TwoLeadECG,0.9991220368744512,0.0,0.07621319866739214,1.2490603658370674
TwoPatterns,1.0,0.0,2.651639640238136,6.539248152449727
UMD,0.986111111111111,1.1102230246251565e-16,0.17140936036594212,0.31374295437708494
UWaveGestureLibraryAll,0.9757677275265214,0.0004102997894109284,11.849608552828432,43.773666301369666
UWaveGestureLibraryX,0.8536013400335009,0.0015250139903682585,4.517017010040582,14.420345188723878
UWaveGestureLibraryY,0.7740368509212731,0.0013969844783022847,4.530499659432098,14.512165951821954
UWaveGestureLibraryZ,0.792462311557789,0.0015352012378411477,4.493330797133967,14.479890283802524
Wafer,0.9982154445165478,0.00025132922428344507,2.9572306896559892,11.943627921165898
Wine,0.8222222222222222,0.02771598064276994,0.2918064059689641,0.19799739406444133
WordSynonyms,0.7532915360501568,0.002126122251763408,1.2251474985852837,2.257667616428807
Worms,0.7246753246753247,0.0051948051948051965,2.3490103530697524,0.9787013939116149
WormsTwoClass,0.7974025974025973,0.006362311020216049,2.3550416654441504,0.9533919401001185
Yoga,0.9100666666666667,0.0036110940170535886,1.9664842252619565,16.341402791626752
